name;firstname;phonenumber

COLLE;Liam;0611651627

Mathias;White;0100000000

INOX;Aaron;0412658366

RODRIGUEZ;Mathieu;0666666666
RODRIGUAZ;Mathieu;0411970597
Donovan;Era;061187102
POLIS;Adrian;1122334455
LECADIEU;Corentin;0789999999
COLLE;David;00000000
PARRA;Matthias;5566778899
HACE;Erin;0401020334
HACER;Erina;04010203347
HACER;Erina;04010203347
HACER;Erina;04010203347
HACER;Erina;04010203347
COLLE;Anne;0879797979
NESSON;Liam;0879797979
SHEPHERD;Adrian;0448798750
ARII;Logan;0789445794
ARIIE;Logana;0789445795
HISHIN;Ayla;0445669947
CHUN;Catherine;0102030405
KALI;Janes;0405060708
KATERINA;Catherine;0907010747
KONEKA;Laika;0708090102
